"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"007","気象被害_計_被害面積","38000","愛媛県","ha","22400"
"007","気象被害_計_被害面積","39000","高知県","ha","22800"
"007","気象被害_計_被害面積","40000","福岡県","ha","74900"
"007","気象被害_計_被害面積","41000","佐賀県","ha","44900"
"007","気象被害_計_被害面積","42000","長崎県","ha","24200"
"007","気象被害_計_被害面積","43000","熊本県","ha","47000"
"007","気象被害_計_被害面積","44000","大分県","ha","40200"
"007","気象被害_計_被害面積","45000","宮崎県","ha","24900"
"007","気象被害_計_被害面積","46000","鹿児島県","ha","62500"
"007","気象被害_計_被害面積","47000","沖縄県","ha","248"
"007","気象被害_計_被害面積","N0013","関東農政局","ha","551700"
"007","気象被害_計_被害面積","N0014","東海農政局","ha","130900"
"007","気象被害_計_被害面積","N0015","中国四国農政局","ha","311800"
"008","気象被害_計_被害量","N0001","全国","t","600000"
"008","気象被害_計_被害量","N0002","北海道","t","48600"
"008","気象被害_計_被害量","N0003","都府県","t","551500"
"008","気象被害_計_被害量","N0004","東北","t","177000"
"008","気象被害_計_被害量","N0005","北陸","t","42300"
"008","気象被害_計_被害量","N0006","関東・東山","t","135600"
"008","気象被害_計_被害量","N0007","東海","t","22900"
"008","気象被害_計_被害量","N0008","近畿","t","28300"
"008","気象被害_計_被害量","N0009","中国","t","47200"
"008","気象被害_計_被害量","N0010","四国","t","17100"
"008","気象被害_計_被害量","N0011","九州","t","81000"
"008","気象被害_計_被害量","N0012","沖縄","t","173"
"008","気象被害_計_被害量","01000","北海道","t","48600"
"008","気象被害_計_被害量","02000","青森県","t","18300"
"008","気象被害_計_被害量","03000","岩手県","t","14900"
"008","気象被害_計_被害量","04000","宮城県","t","31000"
"008","気象被害_計_被害量","05000","秋田県","t","69900"
"008","気象被害_計_被害量","06000","山形県","t","28600"
"008","気象被害_計_被害量","07000","福島県","t","14400"
"008","気象被害_計_被害量","08000","茨城県","t","29900"
"008","気象被害_計_被害量","09000","栃木県","t","30000"
"008","気象被害_計_被害量","10000","群馬県","t","21600"
"008","気象被害_計_被害量","11000","埼玉県","t","30800"
"008","気象被害_計_被害量","12000","千葉県","t","10800"
"008","気象被害_計_被害量","13000","東京都","t","42"
"008","気象被害_計_被害量","14000","神奈川県","t","771"
"008","気象被害_計_被害量","15000","新潟県","t","32800"
"008","気象被害_計_被害量","16000","富山県","t","3810"
"008","気象被害_計_被害量","17000","石川県","t","2500"
"008","気象被害_計_被害量","18000","福井県","t","3210"
"008","気象被害_計_被害量","19000","山梨県","t","1760"
"008","気象被害_計_被害量","20000","長野県","t","9780"
"008","気象被害_計_被害量","21000","岐阜県","t","5940"
"008","気象被害_計_被害量","22000","静岡県","t","4330"
"008","気象被害_計_被害量","23000","愛知県","t","6170"
"008","気象被害_計_被害量","24000","三重県","t","6430"
"008","気象被害_計_被害量","25000","滋賀県","t","8700"
"008","気象被害_計_被害量","26000","京都府","t","2430"
"008","気象被害_計_被害量","27000","大阪府","t","1410"
"008","気象被害_計_被害量","28000","兵庫県","t","13700"
"008","気象被害_計_被害量","29000","奈良県","t","718"
"008","気象被害_計_被害量","30000","和歌山県","t","1390"
"008","気象被害_計_被害量","31000","鳥取県","t","4120"
"008","気象被害_計_被害量","32000","島根県","t","12900"
"008","気象被害_計_被害量","33000","岡山県","t","15000"
"008","気象被害_計_被害量","34000","広島県","t","6480"
"008","気象被害_計_被害量","35000","山口県","t","8750"
"008","気象被害_計_被害量","36000","徳島県","t","4850"
"008","気象被害_計_被害量","37000","香川県","t","3100"
"008","気象被害_計_被害量","38000","愛媛県","t","4550"
"008","気象被害_計_被害量","39000","高知県","t","4640"
"008","気象被害_計_被害量","40000","福岡県","t","13800"
"008","気象被害_計_被害量","41000","佐賀県","t","14200"
"008","気象被害_計_被害量","42000","長崎県","t","6970"
"008","気象被害_計_被害量","43000","熊本県","t","17600"
"008","気象被害_計_被害量","44000","大分県","t","10700"
"008","気象被害_計_被害量","45000","宮崎県","t","7400"
"008","気象被害_計_被害量","46000","鹿児島県","t","10400"
"008","気象被害_計_被害量","47000","沖縄県","t","173"
"008","気象被害_計_被害量","N0013","関東農政局","t","139800"
"008","気象被害_計_被害量","N0014","東海農政局","t","18500"
"008","気象被害_計_被害量","N0015","中国四国農政局","t","64400"
"009","気象被害_風水害_被害面積","N0001","全国","ha","445100"
"009","気象被害_風水害_被害面積","N0002","北海道","ha","14600"
"009","気象被害_風水害_被害面積","N0003","都府県","ha","430500"
"009","気象被害_風水害_被害面積","N0004","東北","ha","143900"
"009","気象被害_風水害_被害面積","N0005","北陸","ha","88800"
"009","気象被害_風水害_被害面積","N0006","関東・東山","ha","108500"
"009","気象被害_風水害_被害面積","N0007","東海","ha","16400"
"009","気象被害_風水害_被害面積","N0008","近畿","ha","18300"
