"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","005","虫害_ウンカ","058","(都道府県)_鹿児島","ha","3720"
"001","被害面積","005","虫害_ウンカ","059","(都道府県)_沖縄","ha","－"
"001","被害面積","005","虫害_ウンカ","060","関東農政局","ha","16600"
"001","被害面積","005","虫害_ウンカ","061","東海農政局","ha","3330"
"001","被害面積","005","虫害_ウンカ","062","中国四国農政局","ha","6630"
"001","被害面積","006","虫害_カメムシ","001","全国","ha","109300"
"001","被害面積","006","虫害_カメムシ","002","(全国農業地域)_北海道","ha","2330"
"001","被害面積","006","虫害_カメムシ","003","(全国農業地域)_都府県","ha","106900"
"001","被害面積","006","虫害_カメムシ","004","(全国農業地域)_東北","ha","21100"
"001","被害面積","006","虫害_カメムシ","005","(全国農業地域)_北陸","ha","10900"
"001","被害面積","006","虫害_カメムシ","006","(全国農業地域)_関東・東山","ha","23900"
"001","被害面積","006","虫害_カメムシ","007","(全国農業地域)_東海","ha","14100"
"001","被害面積","006","虫害_カメムシ","008","(全国農業地域)_近畿","ha","6960"
"001","被害面積","006","虫害_カメムシ","009","(全国農業地域)_中国","ha","5800"
"001","被害面積","006","虫害_カメムシ","010","(全国農業地域)_四国","ha","13500"
"001","被害面積","006","虫害_カメムシ","011","(全国農業地域)_九州","ha","10700"
"001","被害面積","006","虫害_カメムシ","012","(全国農業地域)_沖縄","ha","－"
"001","被害面積","006","虫害_カメムシ","013","(都道府県)_北海道","ha","2330"
"001","被害面積","006","虫害_カメムシ","014","(都道府県)_青森","ha","1270"
"001","被害面積","006","虫害_カメムシ","015","(都道府県)_岩手","ha","1300"
"001","被害面積","006","虫害_カメムシ","016","(都道府県)_宮城","ha","3570"
"001","被害面積","006","虫害_カメムシ","017","(都道府県)_秋田","ha","6340"
"001","被害面積","006","虫害_カメムシ","018","(都道府県)_山形","ha","4360"
"001","被害面積","006","虫害_カメムシ","019","(都道府県)_福島","ha","4240"
"001","被害面積","006","虫害_カメムシ","020","(都道府県)_茨城","ha","13200"
"001","被害面積","006","虫害_カメムシ","021","(都道府県)_栃木","ha","4200"
"001","被害面積","006","虫害_カメムシ","022","(都道府県)_群馬","ha","602"
"001","被害面積","006","虫害_カメムシ","023","(都道府県)_埼玉","ha","1300"
"001","被害面積","006","虫害_カメムシ","024","(都道府県)_千葉","ha","2150"
"001","被害面積","006","虫害_カメムシ","025","(都道府県)_東京","ha","7"
"001","被害面積","006","虫害_カメムシ","026","(都道府県)_神奈川","ha","6"
"001","被害面積","006","虫害_カメムシ","027","(都道府県)_新潟","ha","5600"
"001","被害面積","006","虫害_カメムシ","028","(都道府県)_富山","ha","1190"
"001","被害面積","006","虫害_カメムシ","029","(都道府県)_石川","ha","550"
"001","被害面積","006","虫害_カメムシ","030","(都道府県)_福井","ha","3550"
"001","被害面積","006","虫害_カメムシ","031","(都道府県)_山梨","ha","350"
"001","被害面積","006","虫害_カメムシ","032","(都道府県)_長野","ha","2130"
